corp_code,stock_code,corp_name_master,industry_krx,bsns_year,cash_and_cash_equivalents,cfo,current_assets,current_liabilities,finance_costs,inventory,net_income,operating_income,revenue,total_assets,total_equity,total_liabilities,liabilities_to_assets,equity_ratio,current_ratio,quick_ratio,cash_ratio,roa,roe,operating_margin,finance_cost_coverage,cfo_to_assets,cfo_to_liabilities,bs_check,bs_check_relative
00106641,000270,기아,운송장비·부품,2020,10160697000000.0,5423896000000.0,26093382000000.0,21097589000000.0,,7093959000000.0,1487585000000.0,2066457000000.0,59168096000000.0,60490443000000.0,29891672000000.0,30598771000000.0,0.5058447166604483,0.49415528333955167,1.2367944981770191,0.9005494893279038,0.4816046516026073,0.024592066551736114,0.049765867897921534,0.034925190088929005,,0.08966533771293425,0.17725862257670413,0.0,0.0
00106641,000270,기아,운송장비·부품,2021,11533710000000.0,7359670000000.0,29205483000000.0,21562636000000.0,,7087685000000.0,4760311000000.0,5065685000000.0,69862366000000.0,66849997000000.0,34912556000000.0,31937441000000.0,0.47774782996624515,0.5222521700337548,1.3544486397674198,1.0257464810888612,0.534893321948207,0.07120884388371775,0.1363495414085408,0.07250949674392648,,0.11009230112605689,0.2304401908718986,0.0,0.0
00106641,000270,기아,운송장비·부품,2022,11553972000000.0,9333186000000.0,34147147000000.0,25377803000000.0,,9103825000000.0,5408976000000.0,7233120000000.0,86559029000000.0,73710965000000.0,39343081000000.0,34367884000000.0,0.4662519884253313,0.5337480115746687,1.3455517406293995,0.9868199386684497,0.45527865434214304,0.07338088709054345,0.13748226784780784,0.08356285974511105,,0.12661869234787523,0.2715670828032357,0.0,0.0
00106641,000270,기아,운송장비·부품,2023,14353142000000.0,11296526000000.0,37466302000000.0,25674105000000.0,392011000000.0,11272875000000.0,8777817000000.0,11607873000000.0,99808420000000.0,80627826000000.0,46558235000000.0,34069591000000.0,0.4225537595420221,0.5774462404579779,1.459303138317772,1.0202274626515706,0.5590513087019002,0.10886833287555094,0.18853414438927937,0.11630154049127318,29.611089994923613,0.1401070394729482,0.33157210487205435,0.0,0.0
00106641,000270,기아,운송장비·부품,2024,13566568000000.0,12564368000000.0,41797457000000.0,26977376000000.0,609619000000.0,12419084000000.0,9775005000000.0,12667139000000.0,107448752000000.0,92755874000000.0,55840309000000.0,36915565000000.0,0.3979862773973754,0.6020137226026246,1.5493522053442115,1.0890003905494738,0.5028868634221505,0.10538421534360184,0.17505284578564922,0.11789005236654587,20.778779860863917,0.135456305441098,0.3403542110218278,0.0,0.0
00106641,000270,기아,운송장비·부품,2025,13998106000000.0,9054140000000.0,44425929000000.0,28378332000000.0,577624000000.0,14666201000000.0,7554174000000.0,9078148000000.0,114140919000000.0,98979055000000.0,61190464000000.0,37788591000000.0,0.38178371171557457,0.6182162882844254,1.5654876755970013,1.0486778433630277,0.4932673985208151,0.07632093476746166,0.12345345183197173,0.07953456200926505,15.716362201016578,0.09147531263053582,0.2395998305414457,0.0,0.0
00107613,007660,이수페타시스,전기·전자,2019,27027236794.0,15468978780.0,224717545689.0,302570656721.0,11039865274.0,81822315745.0,-91099124274.0,-23957646315.0,514238394051.0,416712435733.0,76024871249.0,340687564484.0,0.8175603492243476,0.18243965077565236,0.7426944440822355,0.47227061438334883,0.08932537307780569,-0.21861388444949098,-1.1982805465809754,-0.04658859896918545,-2.170103141695278,0.03712147143578751,0.045405175863783204,0.0,0.0
00107613,007660,이수페타시스,전기·전자,2020,23159628294.0,-22195222594.0,224299898914.0,295044097044.0,26674585222.0,94206392664.0,-13504623004.0,1963548854.0,514188415796.0,389384712550.0,65108814354.0,324275898196.0,0.8327905224434318,0.16720947755656823,0.7602250008091167,0.44092902570627984,0.07849548093329994,-0.03468195480906534,-0.20741620221456752,0.003818734132623909,0.07361122347951461,-0.05700075498251607,-0.0684454895275155,0.0,0.0
00107613,007660,이수페타시스,전기·전자,2021,44364623195.0,3972190584.0,310268447359.0,298215821354.0,19189848986.0,111337249017.0,-3603718792.0,46875580199.0,469621094131.0,449678765264.0,125491909633.0,324186855631.0,0.7209298741084083,0.2790701258915917,1.040415783274935,0.6670712420246033,0.14876683267027788,-0.00801398480509594,-0.028716741999855164,0.09981574674736424,2.442727935649634,0.008833395950257922,0.01225278111991461,0.0,0.0
00107613,007660,이수페타시스,전기·전자,2022,45645080142.0,29760255326.0,373857465832.0,286000684042.0,42181310254.0,167460622091.0,102473037692.0,116618143622.0,642920533265.0,546014160739.0,222328078478.0,323686082261.0,0.5928162775538802,0.4071837224461198,1.3071908099950487,0.7216655597603048,0.1595978005958087,0.18767468879068705,0.4609091141051714,0.18138811499730426,2.764687557588168,0.05450454853720486,0.09194172056493677,0.0,0.0
00107613,007660,이수페타시스,전기·전자,2023,47962800869.0,52473189957.0,383628200131.0,290513985554.0,38366603620.0,176074379910.0,47723051484.0,62169058401.0,675332755709.0,626436318507.0,266778163292.0,359658155215.0,0.5741336263391967,0.4258663736608032,1.3205154285410199,0.714436586676549,0.16509635767633224,0.076181808228711,0.1788866483489696,0.09205692730797818,1.620395149300943,0.08376460369038077,0.1458974006181844,0.0,0.0
00107613,007660,이수페타시스,전기·전자,2024,80356130093.0,84900910242.0,522697354400.0,377363096552.0,46092399872.0,186899798289.0,74034111779.0,101878836049.0,836866961285.0,790136366426.0,327526708412.0,462609658014.0,0.5854807823952064,0.41451921760479354,1.3851310824400478,0.8898526622746421,0.21294114561604213,0.09369789181312621,0.22603992247823512,0.12173838944790719,2.210317456498699,0.10745095890982682,0.183526021930633,0.0,0.0
00107613,007660,이수페타시스,전기·전자,2025,162780032068.0,168752524669.0,862769924036.0,416473904433.0,47226097436.0,298791648898.0,160482561697.0,204724531402.0,1088025119176.0,1289510030680.0,756197181444.0,533312849236.0,0.41357789900615743,0.5864221009938426,2.071606203540173,1.3541743411410538,0.3908528969891009,0.12445235622740554,0.2122231682886595,0.1881615854209737,4.334987274344216,0.13086561612864026,0.3164231368337502,0.0,0.0
00108241,004370,농심,음식료·담배,2019,317796185342.0,162459540125.0,1078580682201.0,584986895655.0,14143364594.0,208388985969.0,71068947413.0,78816048821.0,2343942951727.0,2653049874906.0,1940743396811.0,712306478095.0,0.26848589799701283,0.7315141020029872,1.8437689633941823,1.4875404948305055,0.5432535116639988,0.02678764092797842,0.03661944568755427,0.03362541258221703,5.572651987946059,0.06123501169790715,0.228075337121015,0.0,0.0
